CURSO COMPACTO;CURSO;LINGUA PORTUGUESA E REDACAO;LITERATURA EM LINGUA PORTUGUESA;HIS;GEO;MAT;LINGUA ESTRANGERIA MODERNA;FIS;QUI;BIO;DENSIDADE 2024;AMPLA CONCORRÊNCIA;ESCOLA PÚBLICA
Engenharia Química - Bacharelado;Engenharia Química - Bacharelado;3;1;1;1;3;1;2;2;1;1,99;525,44;414,57
Estatística - Bacharelado;Estatística - Bacharelado;3;1;1;2;3;2;1;1;1;1,25;417,21;450,52
Farmácia - Bacharelado;Farmácia - Bacharelado;3;1;1;1;2;1;1;3;2;2,82;524,97;460,86
Filosofia - Bacharelado e Licenciatura;Filosofia - Bacharelado - Diurno;3;2;2;1;2;2;1;1;1;1,71;460,99;453,85
;Filosofia - Licenciatura - Noturno;3;2;2;1;2;2;1;1;1;1,29;410,7;405,06
Física - Bacharelado e Licenciatura;Física - Bacharelado: Astrofísica;3;1;1;1;3;1;3;1;1;2,07;533,61;418,08
;Física - Bacharelado;3;1;1;1;3;1;3;1;1;2,11;547,66;439,22
;Física - Licenciatura - Diurno;3;1;1;1;3;1;3;1;1;0,29;412,68;
;Física - Licenciatura - Noturno;3;1;1;1;3;1;3;1;1;0,67;429,22;
Fisioterapia - Bacharelado;Fisioterapia - Bacharelado;3;1;1;1;1;1;2;2;3;13,57;550,07;522,05
Fonoaudiologia - Bacharelado;Fonoaudiologia - Bacharelado;3;1;1;1;1;2;2;1;3;3,62;518,52;470,73
Geografia - Bacharelado e Licenciatura;Geografia - Diurno;3;1;2;3;2;1;1;1;1;0,95;468,21;447,96
;Geografia - Noturno;3;1;2;3;2;1;1;1;1;1,18;451,88;431,18
Geografia – Licenciatura – Campus Litoral Norte;Geografia - Licenciatura - Campus Litoral Norte;3;1;2;3;2;1;1;1;1;0,86;397,31;
Geologia - Bacharelado;Geologia - Bacharelado;3;1;1;1;3;1;2;2;1;1,21;420,83;450,7
História - Bacharelado e Licenciatura;História - Diurno;3;1;3;3;1;1;1;1;1;3,85;535,83;531,7
;História - Noturno;3;1;3;3;1;1;1;1;1;2,62;503,92;483,63
História da Arte - Bacharelado;História da Arte - Bacharelado - Noturno;3;2;3;2;1;1;1;1;1;2,38;499,02;439,01
Interdisciplinar em Ciência e Tecnologia - Bacharelado – Campus Litoral Norte;Interdisciplinar em Ciência e Tecnologia - Bacharelado;3;1;1;2;3;1;2;1;1;0,21;420,63;
Jornalismo - Bacharelado;Jornalismo - Bacharelado;3;2;3;2;1;1;1;1;1;8,29;579,94;548,41
Letras - Bacharelado e Licenciatura;Letras - Bacharelado;3;3;2;1;1;2;1;1;1;2;527,66;446,85
;Letras - Bacharelado: Formação Tradutor e Intérprete de Libras;3;3;2;1;1;2;1;1;1;1,24;394,98;423,1
;Letras - Licenciatura;3;3;2;1;1;2;1;1;1;1,64;491,17;424,38
Matemática - Bacharelado e Licenciatura;Matemática - Bacharelado;3;1;1;1;3;2;2;1;1;1,09;421,04;416,37
;Matemática - Licenciatura - Diurno;3;1;1;1;3;2;2;1;1;1,19;425,06;422,38
;Matemática - Licenciatura - Noturno;3;1;1;1;3;2;2;1;1;0,84;400,67;
Medicina - Bacharelado;Medicina - Bacharelado;3;1;1;1;1;2;1;2;3;70,61;726,17;717,67
Medicina Veterinária - Bacharelado;Medicina Veterinária - Bacharelado;3;1;1;1;1;1;2;2;3;10,6;551,69;523,21
Museologia - Bacharelado;Museologia - Bacharelado;3;2;2;2;1;2;1;1;1;1,24;438,89;406,13
Música - Bacharelado e Licenciatura;Música;3;2;3;1;1;2;1;1;1;1,4;475,09;397,81
Nutrição - Bacharelado;Nutrição - Bacharelado;3;1;1;1;1;1;1;3;3;9;558,2;517,11
Odontologia – Bacharelado;Odontologia - Bacharelado - Diurno;3;1;1;1;1;1;2;2;3;6,61;553,3;524
;Odontologia - Bacharelado - Noturno;3;1;1;1;1;1;2;2;3;6,33;514,26;483,39
Pedagogia – Licenciatura;Pedagogia - Licenciatura - Matutino;3;2;3;1;1;2;1;1;1;2,4;510,32;443,89
;Pedagogia - Licenciatura - Noturno;3;2;3;1;1;2;1;1;1;2,02;449,27;404,09
Políticas Públicas – Bacharelado;Políticas Públicas - Bacharelado Noturno;3;1;2;2;2;2;1;1;1;0,54;412,44;
Psicologia- Bacharelado;Psicologia - Bacharelado - Diurno;3;2;2;1;1;2;1;1;2;27,5;606,71;585,72
;Psicologia - Bacharelado - Noturno;3;2;2;1;1;2;1;1;2;20,9;582,06;575,13
Publicidade Propaganda - Bacharelado;Publicidade e Propaganda - Bacharelado;3;2;3;2;1;1;1;1;1;9,2;554,6;524,41
Química - Bacharelado e Licenciatura;Química;3;1;1;1;2;1;2;3;1;2,48;519,94;424,7
;Química - Licenciatura - Noturno;3;1;1;1;2;1;2;3;1;1,07;428,87;
Química Industrial - Bacharelado;Química Industrial - Bacharelado - Integral;3;1;1;1;2;1;2;3;1;0,21;441,75;
;Química Industrial - Bacharelado - Noturno;3;1;1;1;2;1;2;3;1;1,36;495,72;441,95
Relações Internacionais - Bacharelado;Relações Internacionais - Bacharelado;3;1;2;2;2;2;1;1;1;10,6;608,11;582,8
Relações Públicas - Bacharelado;Relações Públicas - Bacharelado;3;2;3;2;1;1;1;1;1;2,29;503,4;461,6
Saúde Coletiva - Bacharelado;Saúde Coletiva - Bacharelado - Noturno;3;1;3;2;1;1;1;1;2;0,86;399,65;
Serviço Social - Bacharelado;Serviço Social - Bacharelado - Noturno;3;2;3;2;1;1;1;1;1;3;496,23;487,87
Teatro - Bacharelado e Licenciatura;Teatro - Bacharelado;3;2;3;1;1;2;1;1;1;6;553,98;540,21
;Teatro - Licenciatura;3;2;3;1;1;2;1;1;1;3,6;535,46;497,79
Zootecnia – Bacharelado;Zootecnia - Bacharelado;3;1;1;1;2;1;1;2;3;1,29;421,21;400,82
